text,label,source,label_id
is it possible to make a reclamation against your business?,Cold,huggingface,2
assistance to swee the accepted payment options,Hot,huggingface,0
can you help me to inform of a problem with a registration?,Warm,huggingface,1
I want to know about signing up to your company newsletter,Warm,huggingface,1
"hot - final 2 vendors, selection tmrw. must send competitive pricing tonight",Hot,synthetic,0
Please remove me from your mailing list. We're not interested in this type of solution,Cold,synthetic,2
how do I cancel the subscription to the newsletter?,Warm,huggingface,1
can you help me subscribe to your newsletter?,Warm,huggingface,1
described us as 'exactly what the doctor ordered' -- their words. asking for implementation timeline now.,Hot,synthetic,0
Prospect explicitly asked to be removed from all communications. Mark as do-not-contact.,Cold,synthetic,2
i want assistance to see the compensation current status,Cold,huggingface,2
need to see at what time customer assistance avaialble is,Warm,huggingface,1
can you help me request a rebate of money?,Cold,huggingface,2
how do I remove a pro account?,Cold,huggingface,2
No more vendor comparisons needed -- their committee voted unanimously to go with us.,Hot,synthetic,0
responded to our outreach email asking for more details on integrations. promising early sign.,Warm,synthetic,1
how can I obtain refunds of my money?,Cold,huggingface,2
need help to check ur accepted payment modalities,Hot,huggingface,0
Dead end. They told me outright they're not evaluating any new vendors this year.,Cold,synthetic,2
"I do not need my damn {{Account Category}} account, help to close it",Cold,huggingface,2
Hi -- just confirming we'd like to proceed. Can you send the final agreement for review by EOD?,Hot,synthetic,0
I have to see how long reimbursements take,Cold,huggingface,2
Described their situation as 'feeling the pain but not bleeding enough to act yet.',Warm,synthetic,1
can you help me speaking with a human agent ?,Warm,huggingface,1
can you help me speak to a live agent?,Warm,huggingface,1
know if there is anything new on the rebate,Cold,huggingface,2
how can i notify of issues with online payment,Hot,huggingface,0
need to inform o a signup error,Warm,huggingface,1
can you help me check the rebate current status?,Cold,huggingface,2
contract redlines returned -- minor. legal says we can close this week if we agree to the sla terms.,Hot,synthetic,0
I am trying to speak with an operator,Warm,huggingface,1
assistance to check your accepted payment methods,Hot,huggingface,0
They've been ghosting us for 10 weeks. LinkedIn message was seen but not replied to. Archive this,Cold,synthetic,2
I am trying to talk with an agent,Warm,huggingface,1
"Said they're 'ready to move forward' but meant they're ready to start the formal evaluation process, not buy.",Warm,synthetic,1
how can i check ur accepted payment options,Hot,huggingface,0
I am trying to check what payment options are accepted,Hot,huggingface,0
Can't get internal alignment right now but the champion keeps the conversation alive.,Warm,synthetic,1
She called me three times this week asking about implementation dates. Very hot.,Hot,synthetic,0
I'm not registered I'm trying to create a bloody {{Account Type}} acount,Hot,huggingface,0
how do i create a premium account,Hot,huggingface,0
do you have a free number to contact customer support?,Warm,huggingface,1
I need help to sign up to your company newsletter,Warm,huggingface,1
how do I see what hours I can call customer assistance?,Warm,huggingface,1
I need assistance to sign up to the newsletter,Warm,huggingface,1
can you help me report a problem with online payment?,Hot,huggingface,0
can you help me solve errors with payments?,Hot,huggingface,0
can you help me create a premium account?,Hot,huggingface,0
The team loved the pilot results. We're ready to scale to the full deployment. Send the contract,Hot,synthetic,0
Shortlisted to final two vendors; their selection committee meets next Tuesday to make the call.,Hot,synthetic,0
can you help me seeing the early exit penalties?,Cold,huggingface,2
Their CTO said the integration took him 20 minutes to test and he 'won't let this one get away.',Hot,synthetic,0
open {{Account Category}} cacount for wife,Hot,huggingface,0
how can I inform of sign-up issues?,Warm,huggingface,1
Replied to my email after three weeks. Short response but they're still in play.,Warm,synthetic,1
legal team reviewing proposal,Hot,synthetic,0
We appreciate the demo but this doesn't align with our current technology strategy,Cold,synthetic,2
how can i notify of errors with a sign-up,Warm,huggingface,1
Meeting pushed from 30 mins to 2 hours -- they brought in 5 stakeholders. Decision is imminent.,Hot,synthetic,0
need assistance to speak to somebody,Warm,huggingface,1
how do I report troubles with payments?,Hot,huggingface,0
check at what time i can get in touch with customer service,Warm,huggingface,1
"attended demo, liked it, comparing w/ 2 others. no timeline given. nurture mode",Warm,synthetic,1
help me see your accepted payment methods,Hot,huggingface,0
how can I check your available payment modalities?,Hot,huggingface,0
"this is it - 4th call this wk, they want to get started. draft SOW tonight",Hot,synthetic,0
what do I need to do to file a consumer claim?,Cold,huggingface,2
can you help me subscribing to your corporate newsletter?,Warm,huggingface,1
i expect a compensation of {{Currency Symbol}}{{Refund Amount}},Cold,huggingface,2
can you help me notifying of troubles with online payment?,Hot,huggingface,0
wanna ceck what hours i can contact customer assistance,Warm,huggingface,1
can you help me create a {{Account Type}} account?,Hot,huggingface,0
need assistance solving problems with payment,Hot,huggingface,0
I do not know what I need to do to contact customer service,Warm,huggingface,1
how do I inform of an issue with a signup?,Warm,huggingface,1
"They're done evaluating. Waiting on their internal sign-off, should come through any day now.",Hot,synthetic,0
I need to see how long reimbursements take,Cold,huggingface,2
can you help me lodging a complaint against your company?,Cold,huggingface,2
how can I talk to customer assistance?,Warm,huggingface,1
help to check the compensation current status,Cold,huggingface,2
how do I subscribe to the corporate newsletter?,Warm,huggingface,1
can you help me listing your allowed payment methods?,Hot,huggingface,0
can you help me seeing in which cases can I request refunds?,Cold,huggingface,2
i do not know what i have to do to list the payment methods,Hot,huggingface,0
i have a problem with the cancellation of my {{Account Category}} account,Cold,huggingface,2
want assistance to notify of payment issues,Hot,huggingface,0
how can I report a trouble with online payment?,Hot,huggingface,0
how can I see if there is anything wrong with my rebate?,Cold,huggingface,2
"trial expired, 0 logins, 0 replies. dead lead. archive",Cold,synthetic,2
want assistance checking your available payment modalities,Hot,huggingface,0
cancel {{Account Type}} acount,Cold,huggingface,2
how do I check what hours I can call customer support?,Warm,huggingface,1
I am trying to see the current status of the rebate,Cold,huggingface,2
I want to know more about opening a {{Account Type}} account,Hot,huggingface,0
i do not know what i have to do to notify of a sign-up error,Warm,huggingface,1
Their decision is final and not open for discussion. Archive immediately,Cold,synthetic,2
"I ain't registered, can I create a standard account?",Hot,huggingface,0
can you help me informing of a registration error?,Warm,huggingface,1
can you help me to delete my premium account?,Cold,huggingface,2
how can I unsubscribe to the newsletter?,Warm,huggingface,1
how can I speak to a live agent?,Warm,huggingface,1
opening {{Account Type}} account,Hot,huggingface,0
can you help me see the withdrawal penalties?,Cold,huggingface,2
how do i inform of problems with an signup,Warm,huggingface,1
No other vendors on their shortlist now. We won the evaluation and they want to start immediately.,Hot,synthetic,0
assistance to see what payment methods are accepted,Hot,huggingface,0
Never going to be a customer -- wrong industry fit discovered after 3 months of conversations.,Cold,synthetic,2
I'm trying to report a probloem with a fucking signup,Warm,huggingface,1
Visited the case study page three times this week. Warm signal -- worth a personalized outreach.,Warm,synthetic,1
can you help me to cancel the {{Account Type}} account?,Cold,huggingface,2
i cant pay help informing of issues with payment,Hot,huggingface,0
she's the right person but needs to convince her boss. helping her build the internal case.,Warm,synthetic,1
how can I report a sign-up error?,Warm,huggingface,1
Asked specifically about post-implementation support and SLA guarantees. Ready to buy.,Hot,synthetic,0
email bounced. linkedin blocked. phone disconnected. its over.,Cold,synthetic,2
help to report a problem with a registration,Warm,huggingface,1
what do I need to do to contact customer assistance?,Warm,huggingface,1
Never fully disengaged -- just slow. They opened every email we sent for 3 months.,Warm,synthetic,1
can you help me ask for a rebate of money?,Cold,huggingface,2
I am trying to unsubscribe to your damn company newsletter,Warm,huggingface,1
help seeing the accepted payment options,Hot,huggingface,0
I am trying to get rebates of money,Cold,huggingface,2
i try to get a rebate of money,Cold,huggingface,2
can you help me listing your available payment methods?,Hot,huggingface,0
can you help me report troubles with payment?,Hot,huggingface,0
where to unsubscribe to your bloody newsletter?,Warm,huggingface,1
key stakeholder quit. nobody else cares. move on.,Cold,synthetic,2
Following up: we've completed our internal review and are prepared to move forward. Please send the SOW.,Hot,synthetic,0
"I want to sign up to the newsletter, can I get some help?",Warm,huggingface,1
need assistance to cancel the {{Account Type}} account,Cold,huggingface,2
"They basically said we're in, just needs the paperwork sorted.",Hot,synthetic,0
open another {{Account Type}} account for mum,Hot,huggingface,0
I need assistance to report a problem with a sign-up,Warm,huggingface,1
need pricing details asap,Hot,synthetic,0
can you help me talk with customer support?,Warm,huggingface,1
i dont know what i have to do to report issues with payments,Hot,huggingface,0
help demanding rebates of money,Cold,huggingface,2
can you help me demand refunds ?,Cold,huggingface,2
can i check i which situations can i ask to be reimbursed,Cold,huggingface,2
still evaluating vendors,Warm,synthetic,1
how can i see my compensation current status,Cold,huggingface,2
liked demo need internal approval,Warm,synthetic,1
I do not know how to open a damn freemium account,Hot,huggingface,0
can you help me to contact a person?,Warm,huggingface,1
"after the pilot, their ops manager said 'i can't go back to the old way.' they want full rollout yesterday.",Hot,synthetic,0
Their champion left the company but the new VP took over the initiative and is even more motivated.,Hot,synthetic,0
I am trying to see the allowed payment methods,Hot,huggingface,0
We already have a vendor for this and are under contract for the next two years. Not looking.,Cold,synthetic,2
is it possible tl unsubscribe from ur corporate newsletter,Warm,huggingface,1
They unsubscribed from our newsletter and marked our last email as spam. Remove from all sequences.,Cold,synthetic,2
how can i talk with an opertaor,Warm,huggingface,1
i need help with opening my platinum account,Hot,huggingface,0
how can I contact cusomer support?,Warm,huggingface,1
Referred us to their colleagues as a 'great product' -- but declined to buy themselves,Cold,synthetic,2
"CEO approved this personally. Their COO is our main contact now, coordinating implementation.",Hot,synthetic,0
how can I file a consumer complaint?,Cold,huggingface,2
can you help me seeing the termination fees?,Cold,huggingface,2
we're drowning in inefficiencies and your solution is the life raft we've been waiting for -- when can we start?,Hot,synthetic,0
how could I inform of errors with a signup?,Warm,huggingface,1
"wrong contact - company went thru reorg, team dissolved. no path fwd",Cold,synthetic,2
i have got to see the accepted payment options,Hot,huggingface,0
how can I report payment errors?,Hot,huggingface,0
Told us we're their top choice but still needs to complete the RFP process. Weeks away from a decision.,Warm,synthetic,1
how can i inform of an error with payment,Hot,huggingface,0
They're window-shopping right now. Engaged but not in buy mode,Warm,synthetic,1
I am trying to receive a compensation,Cold,huggingface,2
Just browsing options for now -- their words. Low urgency but genuine curiosity.,Warm,synthetic,1
can you tell me at what time I can call customer assistance?,Warm,huggingface,1
I am trying to inform of an issue with registrations,Warm,huggingface,1
how can I unsubscribe from your newsletter?,Warm,huggingface,1
can you help me to sign up to the company newsletter?,Warm,huggingface,1
can uhelp me notifying of a registration issue,Warm,huggingface,1
can you tell me more about unsubscribing to your newsletter?,Warm,huggingface,1
I am trying to inform of issues with payment,Hot,huggingface,0
how can I create a {{Account Category}} account?,Hot,huggingface,0
i dont know how to open a gold account,Hot,huggingface,0
can you help me reporting an error with online payment?,Hot,huggingface,0
can you help me request an restitution of my money?,Cold,huggingface,2
Said they'd definitely circle back in Q2 -- Q2 has come and gone with zero contact,Cold,synthetic,2
"After the final demo, they said the product doesn't solve their core problem. Politely declined.",Cold,synthetic,2
in what situations can I ask to be reimbursed?,Cold,huggingface,2
how can I receive your newsletter?,Warm,huggingface,1
I am trying to check in which cases can I request a refund,Cold,huggingface,2
how can I check the available payment modalities?,Hot,huggingface,0
I want to know more about creating a standard account,Hot,huggingface,0
help me see what payment methods are available,Hot,huggingface,0
I am trying to notify of registration issues,Warm,huggingface,1
NOT interested. said so 3x. remove from all lists. closed-lost.,Cold,synthetic,2
I am trying to cancel my subscription to your newsletter,Warm,huggingface,1
can you help me to unsubscribe from the newsletter?,Warm,huggingface,1
can you help me notify of an error with payments?,Hot,huggingface,0
how do I see your money back policy?,Cold,huggingface,2
what do i need to do to delete the {{Account Type}} account,Cold,huggingface,2
how do I create a {{Account Type}} account for my daughter?,Hot,huggingface,0
I want to know more about opening {{Account Type}} accounts,Hot,huggingface,0
wanna see at what time i can reach customer support,Warm,huggingface,1
Trial account created but only limited activity. Checking in once a week to keep them warm.,Warm,synthetic,1
can you help me to speak with somebody?,Warm,huggingface,1
can you help me create a {{Account Type}} account for my fiance?,Hot,huggingface,0
how can i ese the cancellation penalties,Cold,huggingface,2
i do not knwo how to see the payment methods,Hot,huggingface,0
hey can u send pricing asap boss is asking,Hot,synthetic,0
want help cancelling the corporate newsletter subscription,Warm,huggingface,1
is it possible to crewate a gold account,Hot,huggingface,0
what do I need to do to open a platinum account for my dad?,Hot,huggingface,0
help me seeing the early termination penalties,Cold,huggingface,2
can you help me notify of problems with online payments?,Hot,huggingface,0
how to create a {{Account Category}} account,Hot,huggingface,0
can you help me to see the early termination charges?,Cold,huggingface,2
i want assistance talking with an assistant,Warm,huggingface,1
Procurement portal submission done on their end -- waiting for our countersignature only.,Hot,synthetic,0
Decision made internally -- we won. Waiting only for IT security clearance before countersigning,Hot,synthetic,0
I am trying to find information about a gold account removal,Cold,huggingface,2
how do i talk with customer support,Warm,huggingface,1
how can I obtain goddamn rebates of my money?,Cold,huggingface,2
how can I chat with a live agent?,Warm,huggingface,1
how do I talk to a human agent?,Warm,huggingface,1
I don't know what I need to do to cancel a platinum account,Cold,huggingface,2
how do I report an issue with online payment?,Hot,huggingface,0
can you help me inform of fucking troubles with payments?,Hot,huggingface,0
"Very interested, great calls -- but after 6 months of ghosting, this is clearly going nowhere.",Cold,synthetic,2
i need help to unsubscribe from ur company newsletter,Warm,huggingface,1
I am tryign to inform of an error with a registration,Warm,huggingface,1
can you help me inform of an problem with sign-up?,Warm,huggingface,1
help to see what hours I can reach customer service,Warm,huggingface,1
They were never real buyers -- just doing market research on our dime.,Cold,synthetic,2
"Q: when can we start? A: now. seriously, send the impl timeline pls",Hot,synthetic,0
we are not interested in this product under any circumstances. please cease all contact.,Cold,synthetic,2
I want help to talk to a live agent,Warm,huggingface,1
reimburse {{Refund Amount}} dollar,Cold,huggingface,2
how can I check the early termination penalties?,Cold,huggingface,2
She described it as 'on our radar' -- meaning we're visible but not a priority yet.,Warm,synthetic,1
can you help me report an issue with online payments?,Hot,huggingface,0
how can I cancel the {{Account Category}} account?,Cold,huggingface,2
can you help me to speak to customer assistance?,Warm,huggingface,1
Can't share pricing internally yet -- waiting for their fiscal year to reset in two months.,Warm,synthetic,1
good discovery call - needs internal buy-in first. ops team not aligned yet. slow burn,Warm,synthetic,1
we've aligned internally and want to confirm the enterprise plan. please initiate the onboarding process.,Hot,synthetic,0
Has been on our mailing list for 6 months. Recent uptick in engagement -- webinar + two doc downloads.,Warm,synthetic,1
Good call -- they definitely see the value. Said 'let's talk again in two months' -- keep them warm.,Warm,synthetic,1
how do I cancel my corporate newsletter subscription?,Warm,huggingface,1
information about creating {{Account Category}} accounts,Hot,huggingface,0
can you help me seeing your accepted payment options?,Hot,huggingface,0
how do I make a consumer complaint against your businrss?,Cold,huggingface,2
can you help me receive refunds of money?,Cold,huggingface,2
can you help me to notify of issues with online payment?,Hot,huggingface,0
open a {{Account Category}} account for my dad,Hot,huggingface,0
I do not know how I can close a standard account,Cold,huggingface,2
dm on linkedin - general question abt pricing. too early for sales pitch. educate first,Warm,synthetic,1
help me to create a {{Account Category}} account,Hot,huggingface,0
help me see in what cases can I reuest my money back,Cold,huggingface,2
The door isn't just closed -- they've boarded it up and moved to a different address.,Cold,synthetic,2
"I wouls like to see your money back guarantee, help me",Cold,huggingface,2
can you help me to speak to customer support?,Warm,huggingface,1
"Reference check completed. They called two of our existing clients last week, both gave glowing reviews.",Hot,synthetic,0
This account is simmering. They're interested but their internal process is slow,Warm,synthetic,1
want help notifying of a registration issue,Warm,huggingface,1
how can I see the early exit penalies?,Cold,huggingface,2
can you help me asking for refunds?,Cold,huggingface,2
need assistance with opening a {{Account Type}} account,Hot,huggingface,0
find information about opening a {{Account Type}} account,Hot,huggingface,0
want help checking the early exit fee,Cold,huggingface,2
Their team really liked the product but got overruled by a cost-cutting mandate from above,Cold,synthetic,2
can you help me to open a standard account?,Hot,huggingface,0
I am trying to lodge a customer complaint,Cold,huggingface,2
need assistance seeing your accepted payment modalities,Hot,huggingface,0
They went cold after the pricing call. Classic sticker shock -- not going anywhere.,Cold,synthetic,2
I want to know if there is anything wrong with my refund,Cold,huggingface,2
No urgency on their end but they're clearly exploring this space seriously.,Warm,synthetic,1
can you help me notifying of issues with a registration?,Warm,huggingface,1
I am trying to cancel my corporate newsletter subscription,Warm,huggingface,1
can you help me see the damn withdrawal charge?,Cold,huggingface,2
another {{Account Type}} account for father,Hot,huggingface,0
discussing with team next week,Warm,synthetic,1
i do not kow what to do to check the allowed payment methods,Hot,huggingface,0
can you help me subscribing to the corporate newsletter?,Warm,huggingface,1
how can I get information about opening a standard account?,Hot,huggingface,0
how can I subscribe to the company newsletter?,Warm,huggingface,1
can you help me seeing your available payment options?,Hot,huggingface,0
Their CEO won't approve further delays. Legal was told to prioritize our contract review.,Hot,synthetic,0
this isn't a priority for us and won't be for the foreseeable future. please don't follow up.,Cold,synthetic,2
can you help me to chat with an operator?,Warm,huggingface,1
They're not shopping aggressively but responded positively to every touchpoint we've had.,Warm,synthetic,1
can you help me demand a reimbursement of money?,Cold,huggingface,2
can you help me to inform of an error with online payment?,Hot,huggingface,0
can you help me chat with a human agent?,Warm,huggingface,1
can you help me to speak with a bloody operator?,Warm,huggingface,1
how can I call customer service?,Warm,huggingface,1
"I have got to report issues with signup, help me",Warm,huggingface,1
can you show me what payment options are available ?,Hot,huggingface,0
I don't know how to file a consumer complaint,Cold,huggingface,2
how do i create a freemium account,Hot,huggingface,0
Quick note -- legal cleared everything. We can sign Thursday. Does that work?,Hot,synthetic,0
how can I create a standard account for my fiance?,Hot,huggingface,0
